City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Uruguaiana,BR,-29.7547,-57.0883,57.13,82,0,6.91,clear sky
297,Vaitape,PF,-16.5167,-151.75,79.83,74,27,20.89,light rain
298,Ahipara,NZ,-35.1667,173.1667,61.11,73,2,13.47,clear sky
299,Qaqortoq,GL,60.7167,-46.0333,43.75,65,98,19.13,overcast clouds
300,Pisco,PE,-13.7,-76.2167,62.65,72,20,13.8,few clouds
301,Marawi,PH,7.9986,124.2928,72.01,85,73,1.45,broken clouds
302,Flin Flon,CA,54.7682,-101.865,67.84,73,100,8.05,overcast clouds
303,Port Hedland,AU,-20.3167,118.5667,60.85,67,3,8.05,clear sky
304,Jumla,NP,29.2747,82.1838,56.35,78,9,3.91,clear sky
305,Rabo De Peixe,PT,37.8,-25.5833,64.27,95,20,5.75,few clouds
306,Pembroke,CA,45.8168,-77.1162,76.05,61,2,2.64,clear sky
307,Buzdyak,RU,54.5833,54.55,55.17,86,19,4.54,few clouds
308,El Jicaro,GT,14.9167,-89.9,78.33,94,100,3.22,overcast clouds
309,Itoman,JP,26.1247,127.6694,77.38,94,75,16.11,moderate rain
310,Hudson Bay,CA,52.85,-102.3842,53.42,96,100,8.21,overcast clouds
311,Smithers,CA,54.7804,-127.1743,67.42,35,36,6.96,scattered clouds
312,Machhlishahr,IN,25.6833,82.4167,93.96,38,96,11.3,overcast clouds
313,Mecca,SA,21.4267,39.8261,87.1,26,0,7.18,clear sky
314,Ritchie,ZA,-29.038,24.6028,38.41,64,9,6.98,clear sky
315,Plettenberg Bay,ZA,-34.0527,23.3716,53.98,78,85,17.27,light rain
316,Port Macquarie,AU,-31.4333,152.9167,55.89,67,0,4.05,clear sky
317,Tver,RU,56.8619,35.8931,50.63,95,22,10.71,few clouds
318,Krasnyy Chikoy,RU,50.3643,108.7512,62.38,63,100,1.3,overcast clouds
319,Abnub,EG,27.2696,31.1511,84.15,29,0,6.17,clear sky
320,Aden,YE,12.7794,45.0367,87.49,75,19,18.66,few clouds
